0,-1.07463,-4.89071,0.0704285
1.99999,-1.06035,-4.82362,0.0692429
3.99997,-1.04606,-4.75638,0.0680443
5.99997,-1.03172,-4.68877,0.0668468
7.99996,-1.01739,-4.62124,0.0656405
9.99995,-1.00301,-4.55314,0.064424
11.9999,-0.988645,-4.4854,0.0632154
13.9999,-0.974241,-4.41695,0.0619758
15.9999,-0.959875,-4.34906,0.0607689
17.9999,-0.945473,-4.28052,0.0595188
19.9999,-0.931122,-4.21255,0.0583151
21.9999,-0.916741,-4.14413,0.0570711
23.9999,-0.90241,-4.0762,0.0558706
25.9999,-0.888058,-4.00801,0.0546395
27.9999,-0.873753,-3.94024,0.0534431
29.9999,-0.859438,-3.87236,0.0522258
31.9999,-0.845167,-3.80484,0.0510355
33.9998,-0.830897,-3.73731,0.0498327
35.9998,-0.816669,-3.67011,0.0486511
37.9998,-0.802451,-3.603,0.0474635
39.9998,-0.788275,-3.53619,0.0462934
41.9998,-0.774119,-3.46953,0.0451221
43.9998,-0.760005,-3.40317,0.0439658
45.9998,-0.745918,-3.33701,0.0428123
47.9998,-0.731876,-3.27116,0.0416723
49.9998,-0.717868,-3.20555,0.0405379
51.9998,-0.703908,-3.14026,0.0394162
53.9998,-0.689988,-3.07524,0.0383025
55.9998,-0.67612,-3.01057,0.0372012
57.9998,-0.662298,-2.9462,0.0361096
59.9998,-0.648533,-2.88219,0.0350306
61.9997,-0.634819,-2.81852,0.0339626
63.9997,-0.621167,-2.75523,0.0329074
65.9997,-0.607572,-2.69231,0.0318645
67.9997,-0.594043,-2.62979,0.0308348
69.9997,-0.580579,-2.56767,0.0298183
71.9997,-0.567185,-2.50597,0.0288157
73.9997,-0.553861,-2.4447,0.0278269
75.9997,-0.540613,-2.38387,0.0268526
77.9997,-0.527442,-2.3235,0.0258929
79.9997,-0.514351,-2.26361,0.0249483
81.9997,-0.501344,-2.20419,0.0240188
83.9997,-0.488423,-2.14527,0.023105
85.9997,-0.475591,-2.08686,0.022207
87.9997,-0.462853,-2.02897,0.0213252
89.9997,-0.450209,-1.97161,0.0204597
91.9997,-0.437664,-1.9148,0.0196109
93.9997,-0.425221,-1.85855,0.0187788
95.9997,-0.412882,-1.80288,0.0179639
97.9997,-0.400652,-1.74778,0.0171663
99.9997,-0.388533,-1.69329,0.0163862
102,-0.37653,-1.63941,0.0156238
104,-0.364643,-1.58615,0.0148792
106,-0.352879,-1.53353,0.0141527
108,-0.341238,-1.48157,0.0134444
110,-0.329727,-1.43026,0.0127543
112,-0.318346,-1.37963,0.0120828
114,-0.307101,-1.32968,0.0114298
116,-0.295993,-1.28045,0.0107955
118,-0.285029,-1.23192,0.0101799
120,-0.274209,-1.18413,0.00958322
122,-0.263539,-1.13707,0.00900531
124,-0.253021,-1.09077,0.00844644
126,-0.242661,-1.04523,0.00790639
128,-0.232459,-1.00048,0.00738545
130,-0.222423,-0.956502,0.0068833
132,-0.212552,-0.913351,0.00640026
134,-0.202856,-0.870999,0.00593593
136,-0.193331,-0.8295,0.00549066
138,-0.183989,-0.788821,0.00506394
140,-0.174826,-0.749025,0.00465615
142,-0.165855,-0.710069,0.00426669
144,-0.157068,-0.672029,0.00389597
146,-0.148483,-0.634849,0.00354328
148,-0.140089,-0.598618,0.00320908
150,-0.131906,-0.563263,0.00289254
152,-0.12392,-0.528894,0.00259419
154,-0.116155,-0.495415,0.00231302
156,-0.108593,-0.462962,0.00204968
158,-0.101263,-0.431408,0.00180297
160,-0.0941405,-0.400924,0.0015737
162,-0.0872619,-0.371347,0.00136036
164,-0.0805954,-0.342886,0.00116407
166,-0.0741848,-0.315333,0.000982889
168,-0.0679896,-0.28895,0.00081834
170,-0.0620637,-0.263471,0.000667913
172,-0.056355,-0.239221,0.000533746
174,-0.0509304,-0.215862,0.000412473
176,-0.0457228,-0.1938,0.000307169
178,-0.0408158,-0.17261,0.000213209
180,-0.036123,-0.152788,0.000135066
182,-0.0317492,-0.133814,6.63E-05
184,-0.0275835,-0.116284,1.33E-05
186,-0.0237582,-0.0995759,-3.28E-05
188,-0.0201298,-0.0843831,-6.28E-05
190,-0.0168671,-0.0699977,-8.93E-05
192,-0.013784,-0.0571811,-9.90E-05
194,-0.0110955,-0.0451945,-0.000109178
196,-0.0085647,-0.0347994,-0.000101993
198,-0.00645566,-0.0253308,-9.95E-05
200,-0.00448925,-0.0174515,-8.01E-05
202,-0.0029531,-0.01071,-6.89E-05
204,-0.0016024,-0.0055856,-4.41E-05
206,-0.000678805,-0.00193344,-2.96E-05
208,-9.64E-05,-3.66E-05,-9.95E-06
210,2.26E-35,1.38E-33,7.04E-34
